"customer_id","customer_name","total_rentals","total_spent"
526,KARL SEAL,45,221.55
148,ELEANOR HUNT,46,216.54
144,CLARA SHAW,42,195.58
137,RHONDA KENNEDY,39,194.61
178,MARION SNYDER,39,194.61
459,TOMMY COLLAZO,38,186.62
469,WESLEY BULL,40,177.60
468,TIM CARY,39,175.61
236,MARCIA DEAN,42,175.58
181,ANA BRADLEY,34,174.66
176,JUNE CARROLL,37,173.63
50,DIANE COLLINS,35,169.65
259,LENA JENSEN,32,168.68
522,ARNOLD HAVENS,33,167.67
410,CURTIS IRBY,38,167.62
403,MIKE WAY,35,166.65
295,DAISY BATES,38,162.62
209,TONYA CHAPMAN,32,161.68
373,LOUIS LEONE,35,161.65
470,GORDON ALLARD,32,160.68
187,BRITTANY RILEY,28,159.72
550,GUY BROWNLEE,32,159.68
462,WARREN SHERROD,33,159.67
267,MARGIE WADE,36,159.64
293,MAE FLETCHER,31,158.69
372,STEVE MACKENZIE,34,158.66
273,PRISCILLA LOWE,35,157.65
368,HARRY ARCE,35,157.65
346,ARTHUR SIMPKINS,32,155.68
21,MICHELLE CLARK,35,155.65
75,TAMMY SANDERS,41,155.59
197,SUE PETERS,40,154.60
119,SHERRY MARSHALL,34,153.66
532,NEIL RENNER,32,152.68
390,SHAWN HEATON,33,152.67
26,JESSICA HALL,34,152.66
274,NAOMI JENNINGS,35,152.65
506,LESLIE SEWARD,35,152.65
366,BRANDON HUEY,37,152.63
7,MARIA MILLER,33,151.67
454,ALEX GRESHAM,33,151.67
211,STACEY MONTGOMERY,34,151.66
196,ALMA AUSTIN,35,151.65
439,ALEXANDER FENNELL,36,151.64
257,MARSHA DOUGLAS,37,151.63
360,RALPH MADRIGAL,34,150.66
371,BILLY POULIN,35,149.65
513,DUANE TUBBS,31,148.69
86,JACQUELINE LONG,33,148.67
309,CHRISTOPHER GRECO,31,147.69
204,ROSEMARY SCHMIDT,35,147.65
103,GLADYS HAMILTON,31,146.69
479,ZACHARY HITE,31,146.69
348,ROGER QUINTANILLA,36,146.64
87,WANDA PATTERSON,30,145.70
362,NICHOLAS BARFIELD,32,145.68
172,BERNICE WILLIS,33,145.67
436,TROY QUIGLEY,30,144.70
277,OLGA JIMENEZ,32,144.68
237,TANYA GILBERT,33,144.67
66,JANICE WARD,34,144.66
5,ELIZABETH BROWN,38,144.62
337,JERRY JORDON,29,143.71
363,ROY WHITING,29,143.71
120,SYLVIA ORTIZ,32,143.68
289,VIOLET RODRIQUEZ,30,142.70
347,RYAN SALISBURY,30,142.70
46,CATHERINE CAMPBELL,34,142.66
239,MINNIE ROMERO,34,142.66
39,DEBRA NELSON,29,141.71
472,GREG ROBINS,30,141.70
78,LORI WOOD,31,141.69
84,SARA PERRY,33,141.67
533,JESSIE MILAM,33,141.67
566,CASEY MENA,34,141.66
198,ELSIE KELLEY,37,141.63
494,RAMON CHOATE,31,140.69
242,GLENDA FRAZIER,32,140.68
29,ANGELA HERNANDEZ,36,140.64
146,JAMIE RICE,29,139.71
467,ALVIN DELOACH,29,139.71
404,STANLEY SCROGGINS,30,139.70
484,ROBERTO VU,30,139.70
114,GRACE ELLIS,33,139.67
576,MORRIS MCCARTER,34,139.66
349,JOE GILLILAND,29,138.71
482,MAURICE CRAWLEY,29,138.71
306,CHARLES KOWALSKI,32,138.68
51,ALICE STEWART,33,138.67
502,BRETT CORNWELL,34,138.66
80,MARILYN ROSS,30,137.70
210,ELLA OLIVER,31,137.69
300,JOHN FARNSWORTH,31,137.69
102,CRYSTAL FORD,33,137.67
207,GERTRUDE CASTILLO,34,137.66
200,JEANNE LAWSON,27,136.73
380,RUSSELL BRINSON,36,136.64
3,LINDA WILLIAMS,26,135.74
285,MIRIAM MCKINNEY,26,135.74
558,JIMMIE EGGLESTON,28,135.72
448,MIGUEL BETANCOURT,29,135.71
56,GLORIA COOK,30,135.70
334,RAYMOND MCWHORTER,30,135.70
279,DIANNE SHELTON,31,135.69
125,ETHEL WEBB,32,135.68
535,JAVIER ELROD,32,135.68
168,REGINA BERRY,34,135.66
591,KENT ARSENAULT,27,134.73
307,JOSEPH JOY,30,134.70
15,HELEN HARRIS,32,134.68
89,JULIA FLORES,32,134.68
520,MITCHELL WESTMORELAND,32,134.68
569,DAVE GARDINER,32,134.68
438,BARRY LOVELACE,33,134.67
473,JORGE OLIVARES,34,134.66
433,DON BONE,25,133.75
59,CHERYL MURPHY,27,133.73
92,TINA SIMMONS,28,133.72
504,NATHANIEL ADAM,28,133.72
179,DANA HART,29,133.71
265,JENNIE TERRY,29,133.71
112,ROSA REYNOLDS,30,133.70
221,BESSIE MORRISON,28,132.72
316,STEVEN CURLEY,29,132.71
108,TRACY COLE,30,132.70
319,RONALD WEINER,30,132.70
560,JORDAN ARCHULETA,30,132.70
245,COURTNEY DAY,32,132.68
13,KAREN JACKSON,27,131.73
299,JAMES GANNON,30,131.70
314,GEORGE LINTON,33,131.67
82,KATHRYN COLEMAN,26,130.74
594,EDUARDO HIATT,27,130.73
49,JOYCE EDWARDS,28,130.72
154,MICHELE GRANT,30,130.70
141,DEBBIE REYES,32,130.68
342,HAROLD MARTINO,32,130.68
497,GILBERT SLEDGE,28,129.72
589,TRACY HERRMANN,28,129.72
71,KATHY JAMES,30,129.70
269,CASSANDRA WALTERS,30,129.70
296,RAMONA HALE,30,129.70
584,SALVADOR TEEL,30,129.70
35,VIRGINIA GREEN,32,129.68
244,VIOLA HANSON,32,129.68
354,JUSTIN NGO,36,129.64
2,PATRICIA JOHNSON,27,128.73
434,EDDIE TOMLIN,27,128.73
322,JASON MORRISSEY,28,128.72
54,TERESA ROGERS,29,128.71
131,MONICA HICKS,30,128.70
297,SHERRI RHODES,33,128.67
451,JIM REA,33,128.67
508,MILTON HOWLAND,25,127.75
45,JANET PHILLIPS,27,127.73
32,AMY LOPEZ,29,127.71
253,TERRY CARLSON,29,127.71
302,MICHAEL SILVERMAN,29,127.71
339,WALTER PERRYMAN,30,127.70
128,MARJORIE TUCKER,32,127.68
329,FRANK WAGGONER,32,127.68
38,MARTHA GONZALEZ,34,127.66
147,JOANNE ROBERTSON,34,127.66
206,TERRI VASQUEZ,27,126.73
426,BRADLEY MOTLEY,27,126.73
284,SONIA GREGORY,28,126.72
515,ANDRE RAPP,28,126.72
565,JAIME NETTLES,29,126.71
575,ISAAC OGLESBY,29,126.71
107,FLORENCE WOODS,30,126.70
27,SHIRLEY ALLEN,31,126.69
122,THELMA MURRAY,32,126.68
158,VERONICA STONE,32,126.68
19,RUTH MARTINEZ,24,125.76
389,ALAN KAHN,26,124.74
491,RICK MATTOX,27,124.73
400,BRYAN HARDISON,28,124.72
388,CRAIG MORRELL,30,124.70
230,JOY GEORGE,33,124.67
129,CARRIE PORTER,34,124.66
166,LYNN PAYNE,28,123.72
268,NINA SOTO,29,123.71
499,MARC OUTLAW,30,123.70
30,MELISSA KING,34,123.66
510,BEN EASTER,26,122.74
331,ERIC ROBERT,27,122.73
276,BRANDY GRAVES,28,122.72
163,CATHY SPENCER,29,122.71
263,HILDA HOPKINS,29,122.71
260,CHRISTY VARGAS,31,122.69
406,NATHAN RUNYON,32,122.68
241,HEIDI LARSON,34,122.66
571,JOHNNIE CHISHOLM,24,121.76
149,VALERIE BLACK,26,121.74
356,GERALD FULTZ,30,121.70
393,PHILIP CAUSEY,31,121.69
416,JEFFERY PINSON,31,121.69
311,PAUL TROUT,23,120.77
105,DAWN SULLIVAN,26,120.74
225,ARLENE HARVEY,26,120.74
423,ALFRED CASILLAS,26,120.74
495,CHARLIE BESS,26,120.74
573,BYRON BOX,29,120.71
251,VICKIE BREWER,31,120.69
170,BEATRICE ARNOLD,26,119.74
487,HECTOR POINDEXTER,26,119.74
421,LEE HAWKS,27,119.73
262,PATSY DAVIDSON,28,119.72
173,AUDREY RAY,29,119.71
23,SARAH LEWIS,30,119.70
336,JOSHUA MARK,30,119.70
340,PATRICK NEWSOM,31,119.69
167,SALLY PIERCE,32,119.68
41,STEPHANIE MITCHELL,25,118.75
531,JAMIE WAUGH,25,118.75
280,TRACEY BARRETT,27,118.73
292,MISTY LAMBERT,27,118.73
16,SANDRA MARTIN,28,118.72
266,NORA HERRERA,28,118.72
332,STEPHEN QUALLS,28,118.72
529,ERIK GUILLEN,29,118.71
1,MARY SMITH,32,118.68
442,LEROY BUSTAMANTE,32,118.68
583,MARSHALL THORN,23,117.77
490,SAM MCDUFFIE,24,117.76
585,PERRY SWAFFORD,24,117.76
536,FERNANDO CHURCHILL,25,117.75
240,MARLENE WELCH,26,117.74
286,VELMA LUCAS,27,117.73
577,CLIFTON MALCOLM,27,117.73
14,BETTY WHITE,28,117.72
126,ELLEN SIMPSON,28,117.72
386,TODD TAN,29,117.71
538,TED BREAUX,29,117.71
